customer_question,customer_support_response
How do I assign a task to someone on my team?,"Sure! To assign a task, just click on the task card, then use the 'Assignee' dropdown to select a team member. They'll get a notification right away."
How do I set up recurring tasks?,"To set up recurring tasks in Flowstate, click on any task, select 'Make recurring' from the options menu, and choose your frequency. You can also set an end date if needed."
Is there a way to sort a notification between tasks?,"To sort the notification, click on the column headers or use the 'Sort by' option to reorder your notification (especially if you're trying to do it between tasks). Let us know if you'd like a step-by-step guide!"
What are the sort a custom field options for custom field?,"To sort the custom field, click on the column headers or use the 'Sort by' option to reorder your custom field (especially if you're trying to do it after completion). Let us know if you'd like a step-by-step guide!"
Why can't I share a report?,"To share the report, use the 'Share' button to send access or generate a shareable link (especially if you're trying to do it after completion). Let us know if you'd like a step-by-step guide!"
What are the create a project options for project?,"To create the project, go to the appropriate section and click '+ New Project' (especially if you're trying to do it after completion). Let us know if you'd like a step-by-step guide!"
Where do I find create a custom field?,"To create the custom field, go to the appropriate section and click '+ New Custom Field' (especially if you're trying to do it with a due date). Let us know if you'd like a step-by-step guide!"
Why can't I share a notification?,"To share the notification, use the 'Share' button to send access or generate a shareable link (especially if you're trying to do it with a due date). Let us know if you'd like a step-by-step guide!"
Where do I find assign a template?,"To assign the template, open the item, click 'Assignee', and choose a team member (especially if you're trying to do it for recurring work). Let us know if you'd like a step-by-step guide!"
What are the delete a workspace options for workspace?,"To delete the workspace, open the workspace, click the options menu, and select 'Delete'. Be careful—this action is permanent. (especially if you're trying to do it for recurring work). Let us know if you'd like a step-by-step guide!"
What are the export a priority options for priority?,"To export the priority, go to the priority, click 'Export', and choose your format (CSV, PDF, etc.) (especially if you're trying to do it with a due date). Let us know if you'd like a step-by-step guide!"
Why can't I share a dependency?,"To share the dependency, use the 'Share' button to send access or generate a shareable link (especially if you're trying to do it on tasks). Let us know if you'd like a step-by-step guide!"
Where do I find use a automation?,"To use the automation, click on the automation and interact with its tools or content as needed (especially if you're trying to do it for recurring work). Let us know if you'd like a step-by-step guide!"
What are the view a custom field options for custom field?,"To view the custom field, navigate to the dashboard or use filters to view your custom field Let us know if you'd like a step-by-step guide!"
Why can't I track a time?,"To track the time, use tags, due dates, or automation rules to keep an eye on time progress (especially if you're trying to do it for a specific client). Let us know if you'd like a step-by-step guide!"
Can I filter a automation to multiple users?,"To filter the automation, use the filter bar at the top of your automation list to narrow down results (especially if you're trying to do it to multiple users). Let us know if you'd like a step-by-step guide!"
What are the create a workspace options for workspace?,"To create the workspace, go to the appropriate section and click '+ New Workspace' Let us know if you'd like a step-by-step guide!"
What are the import a workspace options for workspace?,"To import the workspace, use the 'Import' option in your settings or relevant view to bring in files or data (especially if you're trying to do it to just one project). Let us know if you'd like a step-by-step guide!"
How do I edit a template between tasks?,"To edit the template, click on the template and choose 'Edit' to make changes (especially if you're trying to do it between tasks). Let us know if you'd like a step-by-step guide!"
Why can't I customize a priority?,"To customize the priority, open the settings panel and adjust fields, colors, or workflows for your priority (especially if you're trying to do it to just one project). Let us know if you'd like a step-by-step guide!"
Why can't I set up a dependency?,"To set up the dependency, follow the setup wizard or use templates to configure your dependency (especially if you're trying to do it for specific projects). Let us know if you'd like a step-by-step guide!"
How do I export a template for a specific client?,"To export the template, go to the template, click 'Export', and choose your format (CSV, PDF, etc.) (especially if you're trying to do it for a specific client). Let us know if you'd like a step-by-step guide!"
How do I create a custom field with a due date?,"To create the custom field, go to the appropriate section and click '+ New Custom Field' (especially if you're trying to do it with a due date). Let us know if you'd like a step-by-step guide!"
Can I create a board between tasks?,"To create the board, go to the appropriate section and click '+ New Board' (especially if you're trying to do it between tasks). Let us know if you'd like a step-by-step guide!"
Can I create a file between tasks?,"To create the file, go to the appropriate section and click '+ New File' (especially if you're trying to do it between tasks). Let us know if you'd like a step-by-step guide!"
Where do I find use a task?,"To use the task, click on the task and interact with its tools or content as needed (especially if you're trying to do it for recurring work). Let us know if you'd like a step-by-step guide!"
Is there a way to view a notification for a specific client?,"To view the notification, navigate to the dashboard or use filters to view your notification (especially if you're trying to do it for a specific client). Let us know if you'd like a step-by-step guide!"
How do I filter a notification to just one project?,"To filter the notification, use the filter bar at the top of your notification list to narrow down results (especially if you're trying to do it to just one project). Let us know if you'd like a step-by-step guide!"
